STATION_ID,X,Y,Z
87,-2559026.46302323,5096503.61065444,-2848251.12713246
88,-2560527.12106056,5095913.50800965,-2847969.72624055
89,-2559985.83949147,5095790.1692303,-2848673.02363798
90,-2559971.93236461,5095873.33165215,-2848539.19113314
91,-2559972.93722066,5095898.57300839,-2848493.32709535
92,-2559823.41090452,5095971.68708343,-2848497.43315087
93,-2559714.60933244,5096023.13230247,-2848501.28076164
94,-2559827.319189,5096037.87964646,-2848376.966263
95,-2559888.92234915,5096236.73193495,-2847962.97009691
96,-2560553.04631512,5095689.86962503,-2848339.63757322
97,-2560827.72599685,5095485.14553812,-2848456.93938844
98,-2560887.25971693,5095299.96552858,-2848728.84751153
99,-2560148.83778718,5095517.47917969,-2849005.6575694
100,-2560185.84718851,5095556.80647982,-2848903.26964244
101,-2560125.41061377,5095620.69643178,-2848844.72011605
102,-2560183.88949437,5095648.57952356,-2848742.60761403
103,-2560075.57174305,5095761.61216192,-2848641.71799038
104,-2560615.69319096,5095233.12598108,-2849087.04650145
105,-2560584.91027805,5094948.63505189,-2849618.26473253
106,-2559995.15292903,5095339.60828525,-2849460.86153979
107,-2559862.78100859,5095515.93890481,-2849268.84698975
108,-2559926.85992182,5095488.77233794,-2849259.30887895
109,-2560070.80670514,5095388.41875136,-2849305.73460111
110,-2560055.0026507,5095440.56924622,-2849227.17333778
111,-2560085.93497916,5095464.42312762,-2849156.77274002
112,-2559976.97838814,5094957.78698143,-2850150.59117752
113,-2559829.92915245,5095134.63521981,-2849970.26905092
114,-2559448.35191168,5095492.90313091,-2849675.7857608
115,-2559554.69480559,5095491.03626655,-2849586.70303555
116,-2559739.64584551,5095423.07642364,-2849545.12559068
117,-2559760.3693074,5095408.32022325,-2849552.7560066
118,-2559830.46340731,5095397.02976286,-2849509.83827018
119,-2559833.33319994,5095401.82280322,-2849498.98306075
120,-2559152.16695519,5095691.14827856,-2849590.25614897
121,-2559391.4923598,5095564.83428285,-2849600.053092
122,-2559009.92199246,5095559.04331439,-2849955.76372944
123,-2558915.34466407,5095582.98980547,-2849997.17780057
124,-2558872.62876703,5095717.36696487,-2849796.17280441
125,-2558990.21866886,5095856.51914554,-2849444.49725914
126,-2559003.88692766,5095887.815817,-2849376.86316992
127,-2559043.741573,5095823.02355043,-2849455.57751715
