x,n_threshold
1.0,2
51.0,53
101.0,103
151.0,153
201.0,203
251.0,253
301.0,303
351.0,353
401.0,403
451.0,453
501.0,503
551.0,553
601.0,603
651.0,653
701.0,703
751.0,753
801.0,803
851.0,853
901.0,903
951.0,953
1000.0,1002
2000.0,2001
5000.0,5001
10000.0,10001
