STATION_ID,ANTENNA_ID,X,Y,Z
6,22,3826593.83113,460857.11164,5064895.191
6,23,3826595.73012,460861.536641,5064893.365999999
7,24,3826571.44212,460926.444639,5064905.7299999995
7,25,3826574.66712,460929.426639,5064903.04
7,26,3826570.79012,460919.280638,5064906.865999999
7,27,3826574.01412,460922.262639,5064904.176999999
7,28,3826577.23912,460925.244639,5064901.486
7,29,3826580.4641199997,460928.226639,5064898.796999999
7,30,3826570.13912,460912.115638,5064908.003
7,31,3826573.36312,460915.097639,5064905.313
7,32,3826576.58712,460918.080639,5064902.624
7,33,3826579.81212,460921.062639,5064899.932999999
7,34,3826583.03612,460924.04463899997,5064897.244
7,35,3826586.2601199998,460927.02664,5064894.554
7,36,3826572.71212,460907.932639,5064906.449999999
7,37,3826575.9361199997,460910.914639,5064903.76
7,38,3826579.1601199997,460913.896639,5064901.0709999995
7,39,3826582.3851199998,460916.878639,5064898.38
7,40,3826585.6091199997,460919.86164,5064895.691
7,41,3826588.8331199996,460922.84364,5064893.000999999
7,42,3826578.50812,460906.732639,5064902.2069999995
7,44,3826584.9581199996,460912.69664,5064896.827
7,45,3826588.18212,460915.67864,5064894.137999999
7,46,3826584.3051199997,460905.53264,5064897.964
7,47,3826587.53012,460908.51464,5064895.273999999
8,0,3826693.86812,460999.163649,5064807.262
8,1,3826697.34412,461001.691649,5064804.425
8,2,3826692.61512,460992.163649,5064808.836
8,3,3826696.0901200003,460994.692649,5064805.999
8,4,3826699.56512,460997.219649,5064803.1620000005
8,5,3826703.04112,460999.74864999996,5064800.324
8,6,3826691.36112,460985.163649,5064810.41
8,7,3826694.83612,460987.691649,5064807.572
8,8,3826698.31112,460990.22064899997,5064804.7360000005
8,9,3826701.78712,460992.749649,5064801.898
8,10,3826705.2631200003,460995.27765,5064799.061
8,11,3826708.7381200003,460997.80665,5064796.223
8,12,3826693.58212,460980.692649,5064809.147
8,13,3826697.05712,460983.22164899996,5064806.309
8,14,3826700.5331200003,460985.749649,5064803.472
8,15,3826704.00912,460988.27865,5064800.634
8,16,3826707.48412,460990.80765,5064797.798
8,17,3826710.9591200002,460993.33564999996,5064794.96
8,18,3826699.27912,460978.750649,5064805.046
8,19,3826702.7551200003,460981.27965,5064802.208
8,20,3826706.23012,460983.80665,5064799.371
8,21,3826709.70512,460986.33564999996,5064796.534
8,22,3826704.9761200002,460976.80765,5064800.945
8,23,3826708.45212,460979.33564999996,5064798.108
9,24,3826621.75011,461028.203643,5064858.76999
9,25,3826624.25711,461032.10864299996,5064856.53599
9,26,3826622.52111,461020.96164299996,5064858.84599
9,27,3826625.02611,461024.866643,5064856.61299
9,28,3826627.53311,461028.772643,5064854.37799
9,29,3826630.0391100002,461032.677643,5064852.144
9,30,3826623.29111,461013.720643,5064858.92299
9,31,3826625.79711,461017.62464299996,5064856.68899
9,32,3826628.30311,461021.530643,5064854.455
9,33,3826630.8091100003,461025.435643,5064852.221
9,34,3826633.3151100003,461029.341644,5064849.987
9,35,3826635.82111,461033.246644,5064847.7530000005
9,36,3826626.56711,461010.382643,5064856.765
9,37,3826629.07311,461014.28764299996,5064854.531
9,38,3826631.5791100003,461018.193644,5064852.297
9,39,3826634.0851100003,461022.09864399995,5064850.063
9,40,3826636.59111,461026.004644,5064847.829
9,41,3826639.09711,461029.90864399995,5064845.595
9,42,3826632.3491100003,461010.95164399996,5064852.374
9,43,3826634.8551100004,461014.856644,5064850.14
9,44,3826637.36211,461018.762644,5064847.905
9,45,3826639.86711,461022.667644,5064845.672
9,46,3826638.13111,461011.520644,5064847.982
9,47,3826640.63811,461015.425644,5064845.748
10,0,3826647.9181000004,461147.688645,5064828.328009999
10,1,3826651.7271000003,461149.40264499997,5064825.31501
10,2,3826645.6941000004,461141.13264499995,5064830.590009999
10,3,3826649.5031000003,461142.846645,5064827.577009999
10,4,3826653.3111,461144.559645,5064824.56301
10,5,3826657.1191000002,461146.27364599996,5064821.550009999
10,6,3826643.4691000003,461134.57664399996,5064832.85301
10,7,3826647.2791000004,461136.290645,5064829.839009999
10,8,3826651.0871,461138.004645,5064826.82501
10,9,3826654.8951000003,461139.71764499997,5064823.8120099995
10,10,3826658.7041,461141.43064599996,5064820.79801
10,11,3826662.5121000004,461143.144646,5064817.78501
10,12,3826645.0541000003,461129.73464499996,5064832.101009999
10,13,3826648.8621,461131.448645,5064829.08801
10,14,3826652.6711000004,461133.161645,5064826.07401
10,15,3826656.4791,461134.874646,5064823.061009999
10,16,3826660.2871000003,461136.58864599996,5064820.04701
10,17,3826664.0971000004,461138.302646,5064817.033009999
10,18,3826650.44711,461126.60564499995,5064828.33601
10,19,3826654.2551100003,461128.319645,5064825.3230099995
10,20,3826658.06311,461130.032646,5064822.30901
10,21,3826661.8721100003,461131.74664599996,5064819.29601
10,22,3826655.83911,461123.476646,5064824.57101
10,23,3826659.6481100004,461125.190646,5064821.55801
11,24,3826603.5911100004,461087.84664099995,5064867.011
11,25,3826606.42511,461091.381641,5064864.563
11,26,3826603.7531100004,461080.58464099996,5064867.545
11,27,3826606.58711,461084.119641,5064865.097999999
11,28,3826609.42211,461087.65564199997,5064862.651
11,29,3826612.2561100004,461091.18964199995,5064860.204
11,30,3826603.9141100002,461073.322641,5064868.080999999
11,31,3826606.74811,461076.85764099995,5064865.632999999
11,32,3826609.58411,461080.393642,5064863.186
11,33,3826612.41811,461083.92764199997,5064860.738
11,34,3826615.2531100004,461087.463642,5064858.290999999
11,36,3826606.91111,461069.59664099995,5064866.168
11,37,3826609.74511,461073.131642,5064863.721
11,40,3826618.2501100004,461083.73764199996,5064856.379
11,41,3826621.08411,461087.27264299995,5064853.931
11,42,3826612.74211,461069.40564199997,5064861.807999999
11,44,3826618.41111,461076.475642,5064856.914
11,45,3826621.24511,461080.01064299996,5064854.466999999
11,46,3826618.57311,461069.213642,5064857.449
11,47,3826621.40711,461072.74864299997,5064855.000999999
12,0,3826473.7941,461095.60763000004,5064963.7360000005
12,1,3826477.7481,461096.805631,5064960.66
12,2,3826471.0191,461089.41463,5064966.379
12,3,3826474.9721,461090.61263000005,5064963.303
